tconst	titleType	primaryTitle	averageRating	numVotes	startYear	runtimeMinutes	genre1	genre2	genre3
tt0021349	movie	Second Honeymoon	4.7	36	1930	76	Comedy	Drama	Romance
tt0021358	movie	Shadow Ranch	6.8	68	1930	64	Drama	Western	NA
tt0021359	movie	Shadow of the Law	6.3	142	1930	69	Crime	Drama	Mystery
tt0021374	movie	The Silver Horde	5.8	580	1930	75	Drama	Romance	NA
tt0021375	movie	Enthusiasm	6.8	966	1930	67	Documentary	NA	NA
tt0021382	movie	The Sins of the Children	6.2	266	1930	67	Drama	Romance	NA
tt0021392	movie	Usinatlo	4	30	1930	60	Drama	NA	NA
tt0021394	movie	So Long Letty	6.1	188	1929	64	Comedy	Musical	NA
tt0021401	movie	Song o' My Heart	5.2	191	1930	85	Drama	Music	Romance
tt0021404	movie	The Song of the Flame	5.2	54	1930	96	Musical	Romance	NA
tt0021406	movie	That Night's Wife	6.9	878	1930	65	Crime	Drama	NA
tt0021409	movie	Under the Roofs of Paris	7.1	2380	1930	96	Comedy	Drama	Musical
tt0021430	movie	Eine Stunde Glück	6.2	16	1931	82	Drama	Musical	NA
tt0021451	movie	Sein Liebeslied	6.2	14	1930	102	Musical	NA	NA
tt0021456	short	Teacher's Pet	7.9	304	1930	20	Comedy	Family	Short
tt0021469	movie	The Thoroughbred	4.1	32	1930	57	Drama	NA	NA
tt0021476	movie	And Quiet Flows the Don	7.3	111	1930	75	Drama	NA	NA
tt0021492	movie	True to the Navy	6.3	147	1930	71	Action	Comedy	Romance
tt0021498	movie	Ulla, My Ulla	4.6	6	1930	75	Drama	NA	NA
tt0021503	movie	Under a Texas Moon	5.1	96	1930	82	Adventure	Comedy	Music
tt0021505	movie	The Unholy Three	6.7	1326	1930	72	Crime	Drama	Romance
tt0021506	movie	Der unsterbliche Lump	6.1	13	1930	97	Drama	NA	NA
tt0021508	movie	Up the River	5.9	1292	1930	92	Comedy	Crime	Drama
tt0021511	movie	The Vagabond King	5.4	203	1930	104	Drama	Musical	Romance
tt0021514	movie	Vsadniki vetra	7	12	1930	NA	Comedy	Drama	NA
tt0021532	movie	A Warm Corner	6.6	62	1930	104	Comedy	Romance	NA
tt0021538	movie	Road to Rio	7.1	17	1931	82	Crime	Drama	NA
tt0021539	movie	The White Devil	7.3	98	1930	110	Drama	NA	NA
tt0021542	movie	Westfront 1918	7.4	2224	1930	75	Drama	Romance	War
tt0021549	movie	Whoopee!	6.4	1089	1930	93	Comedy	Musical	Romance
tt0021551	movie	The Widow from Chicago	6.4	419	1930	64	Crime	Drama	Romance
tt0021571	movie	Earth	7.2	6016	1930	75	Drama	NA	NA
tt0021573	movie	Zwei Krawatten	6.4	13	1930	88	Comedy	Musical	NA
tt0021576	short	À Propos de Nice	7.4	4392	1930	24	Comedy	Documentary	Short
tt0021577	movie	L'Age d'Or	7.2	14254	1930	60	Comedy	Drama	NA
tt0021594	movie	The Light of the World	7.3	135	1931	124	Drama	Fantasy	NA
tt0021605	movie	The Lovers of Midnight	6.5	63	1931	109	Crime	Drama	Romance
tt0021607	movie	An American Tragedy	6.5	866	1931	96	Crime	Drama	Romance
tt0021609	movie	Die andere Seite	7	78	1931	107	Drama	War	NA
tt0021616	movie	Ariane	6.8	72	1931	85	Drama	Romance	NA
tt0021619	movie	Poor as a Church Mouse	6.6	24	1931	101	Comedy	Musical	Romance
tt0021622	movie	Arrowsmith	6.1	1808	1931	108	Drama	NA	NA
tt0021630	movie	The Avenger	5.8	68	1931	72	Western	NA	NA
tt0021636	movie	Bad Sister	6.2	1385	1931	68	Drama	NA	NA
tt0021644	short	Be Big!	6.8	1461	1931	28	Comedy	Family	Short
tt0021653	movie	Mountains on Fire	6.8	139	1931	109	Drama	War	NA
tt0021662	movie	The Sorrow of the Beautiful Woman	5	46	1931	158	Drama	NA	NA
tt0021671	movie	Black and White	5.5	122	1931	106	Comedy	NA	NA
tt0021673	movie	Blonde Crazy	7.1	2146	1931	79	Comedy	Crime	Drama
tt0021683	movie	Border Law	5.9	108	1931	63	Western	NA	NA
tt0021693	movie	Branded	6	76	1931	61	Western	NA	NA
tt0021708	movie	Bachelor's Folly	6.4	12	1931	80	Drama	NA	NA
tt0021732	movie	Chances	6.3	264	1931	72	Drama	Romance	War
tt0021738	short	Chickens Come Home	7.4	1596	1931	30	Comedy	Family	Short
tt0021739	movie	La Chienne	7.5	4540	1931	91	Crime	Drama	NA
tt0021746	movie	Cimarron	5.8	6428	1931	123	Drama	Music	Western
tt0021749	movie	City Lights	8.5	186872	1931	87	Comedy	Drama	Romance
tt0021750	movie	City Streets	7	1731	1931	83	Crime	Drama	Film-Noir
tt0021755	short	Come Clean	7.2	1298	1931	18	Comedy	Short	NA
tt0021759	movie	A Connecticut Yankee	6.4	410	1931	95	Comedy	Family	Fantasy
tt0021761	movie	Consolation Marriage	6	488	1931	81	Drama	NA	NA
tt0021768	movie	Cracked Nuts	6	377	1931	65	Comedy	Musical	Romance
tt0021772	movie	The Cuban Love Song	5.5	216	1931	86	Musical	Romance	NA
tt0021789	movie	The Deadline	5.2	43	1931	65	Western	NA	NA
tt0021795	movie	Desert Vengeance	6.4	46	1931	65	Western	NA	NA
tt0021799	movie	Dirigible	6.3	670	1931	100	Adventure	NA	NA
tt0021807	movie	Don't Bet on Women	6.2	163	1931	70	Comedy	Romance	NA
tt0021810	short	Labor on the Douro River	7.2	742	1931	20	Documentary	Short	NA
tt0021814	movie	Dracula	7.4	54501	1931	75	Drama	Fantasy	Horror
tt0021817	movie	Three Days of Love	6.7	13	1931	101	Drama	NA	NA
tt0021818	movie	The 3 Penny Opera	7.3	2351	1931	112	Comedy	Crime	Drama
tt0021826	movie	East Lynne	5.9	273	1931	102	Drama	Romance	NA
tt0021828	movie	East of Borneo	5.6	231	1931	77	Adventure	Horror	Romance
tt0021844	movie	The Exile	4.7	169	1931	93	Crime	Drama	Romance
tt0021848	movie	The Wrong Millionaire	5.2	53	1931	90	Comedy	NA	NA
tt0021850	movie	Fanny Foley Herself	6.6	15	1931	75	Comedy	Drama	NA
tt0021863	movie	The Fighting Sheriff	5.8	39	1931	67	Western	NA	NA
tt0021864	movie	End of the World	6.1	315	1931	105	Drama	Sci-Fi	NA
tt0021873	movie	Five Star Final	7.3	2278	1931	89	Crime	Drama	Music
tt0021884	movie	Frankenstein	7.8	74943	1931	70	Drama	Horror	Sci-Fi
tt0021885	movie	A Free Soul	6.6	2739	1931	93	Crime	Drama	Romance
tt0021918	movie	Gold Dust Gertie	5.7	145	1931	65	Adventure	Comedy	Music
tt0021925	movie	Gosudarstvennyy chinovnik	6.1	15	1931	71	Comedy	NA	NA
tt0021933	movie	Guilty Hands	6.8	931	1931	69	Crime	Drama	NA
tt0021969	movie	Honor Among Lovers	6.7	353	1931	75	Drama	Romance	NA
tt0021982	movie	The Hurricane Horseman	4.5	38	1931	50	Western	NA	NA
tt0021985	movie	Hyppolit, the Butler	7.7	1651	1931	72	Comedy	NA	NA
tt0021994	movie	Mabuta no haha	6.5	12	1938	84	Action	Drama	NA
tt0022017	movie	Comradeship	7.5	1614	1931	93	Drama	NA	NA
tt0022033	movie	The Greatest Man in the World	6.6	23	1932	84	Comedy	Drama	NA
tt0022034	movie	Congress Dances	7	561	1931	85	Comedy	History	Musical
tt0022036	short	Flunky, Work Hard!	6.7	487	1931	29	Comedy	Drama	Short
tt0022048	movie	The Lady and the Beard	6.4	458	1931	75	Comedy	Romance	NA
tt0022058	short	Laughing Gravy	7.3	1805	1930	21	Comedy	Family	Short
tt0022060	movie	Law of the Rio Grande	5.4	86	1931	57	Western	NA	NA
tt0022065	movie	The Thaw	6.8	87	1931	65	Drama	NA	NA
tt0022074	movie	The Smiling Lieutenant	7.2	3881	1931	93	Comedy	Musical	Romance
tt0022080	movie	Limit	7.1	2546	1931	114	Drama	Romance	NA
tt0022092	movie	The Love Storm	7	61	1931	86	Drama	NA	NA
tt0022100	movie	M	8.3	160151	1931	117	Crime	Mystery	Thriller
tt0022105	movie	The Neighbor's Wife and Mine	6.3	260	1931	64	Comedy	Drama	NA
tt0022117	movie	The Man in Possession	7.1	317	1931	84	Comedy	NA	NA
tt0022134	movie	Arizona	5.7	317	1931	70	Drama	Romance	NA
tt0022136	movie	Trapped in a Submarine	6.1	27	1932	63	Action	Adventure	Drama
tt0022139	movie	Men with Wings	6.3	174	1938	105	Action	Drama	Romance
tt0022140	movie	Menschen hinter Gittern	7	20	1931	109	Drama	NA	NA
tt0022150	movie	Le Million	7.4	3655	1931	91	Comedy	Musical	NA
tt0022172	movie	Murder at Midnight	5.4	437	1931	69	Crime	Mystery	NA
tt0022173	movie	Murder by the Clock	6.2	353	1931	76	Crime	Horror	Mystery
tt0022188	movie	Die Nacht ohne Pause	7.6	8	1931	87	NA	NA	NA
tt0022201	movie	Newly Rich	6.1	70	1931	77	Comedy	NA	NA
tt0022208	movie	Night Nurse	7	4009	1931	72	Comedy	Crime	Drama
tt0022214	movie	Oatsurae Jirôkichi kôshi	6.9	147	1931	80	Action	Drama	NA
tt0022216	movie	Fire	7.8	16	1931	NA	NA	NA	NA
tt0022223	movie	Baby's Laxative	6	480	1931	46	Comedy	NA	NA
tt0022227	short	One Good Turn	7.1	1590	1931	20	Comedy	Short	NA
tt0022233	movie	The One Way Trail	5.8	39	1931	60	Western	NA	NA
tt0022235	movie	The Threepenny Opera	6.9	229	1931	104	Comedy	Crime	Musical
tt0022238	short	Our Wife	7.3	1452	1931	21	Comedy	Family	Short
tt0022243	movie	The Painted Desert	5.1	751	1931	79	Western	NA	NA
tt0022251	movie	Pardon Us	6.8	2661	1931	56	Comedy	Crime	Drama
tt0022254	movie	Parlor, Bedroom and Bath	6.1	938	1931	73	Comedy	NA	NA
tt0022273	movie	Politics	6.3	286	1931	73	Comedy	Romance	NA
tt0022276	movie	Possessed	6.9	2158	1931	76	Drama	Romance	NA
tt0022279	movie	Private Lives	6.7	1261	1931	84	Comedy	Drama	Romance
tt0022280	movie	Die Privatsekretärin	7	14	1931	100	Comedy	NA	NA
tt0022283	movie	The Prodigal	5.4	97	1931	76	Musical	Romance	NA
tt0022284	movie	Præsten i Vejlby	5.7	51	1931	101	Drama	NA	NA
tt0022286	movie	The Public Enemy	7.6	21778	1931	83	Crime	Drama	NA
tt0022289	movie	Road to Life	6.9	440	1931	119	Crime	Drama	NA
tt0022293	movie	The Range Feud	5.6	450	1931	64	Drama	Mystery	Western
tt0022307	movie	Resurrection	6.6	19	1931	81	Drama	NA	NA
tt0022310	movie	Rider of the Plains	6	23	1931	57	Western	NA	NA
tt0022316	movie	The Ridin' Fool	7.1	23	1931	58	Western	NA	NA
tt0022321	movie	The Road to Singapore	6.4	372	1931	69	Drama	Romance	NA
tt0022357	movie	The Secret 6	6.3	916	1931	83	Crime	Drama	NA
tt0022359	movie	Secrets of a Secretary	6.3	130	1931	71	Drama	NA	NA
tt0022370	movie	The She-Wolf	7.1	26	1931	85	Drama	NA	NA
tt0022373	movie	Sherlock Holmes' Fatal Hour	5.8	431	1931	84	Crime	Mystery	NA
tt0022379	movie	Shotgun Pass	4.3	24	1931	58	Western	NA	NA
